,Название,Регулярная цена,Промо цена,Ссылка,id,Бренд
0,"Вода Святой Источник негазированная, 500мл",40,None,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-05-l-473978,473978,СВЯТОЙ ИСТОЧНИК
1,"Вода Святой Источник негазированная, 330мл",29.99,19.90,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-033-l-456829,456829,СВЯТОЙ ИСТОЧНИК
2,"Вода Святой Источник Спортик для детей негазированная, 330мл x 12 шт",395.88,None,https://online.metro-cc.ru/products/art_279245,279245,СВЯТОЙ ИСТОЧНИК
3,"Вода Сенежская питьевая негазированная, 500мл",22,16.90,https://online.metro-cc.ru/products/senezhskaya-negazirovannaya-05-l,474024,СЕНЕЖСКАЯ
4,"Вода Borjomi природная минеральная газированная стекло, 500мл",131,None,https://online.metro-cc.ru/products/borjomi-gazirovannaya-steklo-05-l,457133,BORJOMI
5,"Вода Шишкин лес питьевая негазированная, 5л",114,None,https://online.metro-cc.ru/products/shishkin-les-negazirovannaya-5l,4183,ШИШКИН ЛЕС
6,"Вода Baikal430 Байкальская глубинная вода негазированная, 450мл x 12 шт",766.80,None,https://online.metro-cc.ru/products/art_653759,653759,BAIKAL430
7,"Вода Псыж газированная, 1л",59.90,44.90,https://online.metro-cc.ru/products/art_91738,91738,ПСЫЖ
8,"Вода Святой Источник негазированная, 1.5л",54.90,None,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-15l-473976,473976,СВЯТОЙ ИСТОЧНИК
9,"Вода San Benedetto минеральная негазированная, 1.5л",247,209,https://online.metro-cc.ru/products/sanbenedetto-stolovaya-pityevaya-negazirovannaya-15l,456729,SAN BENEDETTO
10,"Вода Baikal430 Байкальская глубинная вода негазированная, 850мл x 6 шт",599.40,None,https://online.metro-cc.ru/products/baikal-430-bajkalskaya-glubinnaya-negazirovannaya-085-l,107639,BAIKAL430
11,"Вода Tassay питьевая негазированная, 500мл",47.49,37.90,https://online.metro-cc.ru/products/tassay-negazirovannaya-pet-05-l,573873,TASSAY
12,"Вода ФрутоНяня Детская негазированная, 330мл",38.49,24.90,https://online.metro-cc.ru/products/voda-pityevaya-detskaya-frutonyanya-negazirovannaya-330g,395466,ФРУТОНЯНЯ
13,"Вода Рычал-Су минеральная газированная, 1л",89.90,None,https://online.metro-cc.ru/products/rychal-su-1-l-461346,461346,РЫЧАЛ-СУ
14,Вода Шишкин лес питьевая негазированная 1.75л,55.90,39.90,https://online.metro-cc.ru/products/shishkin-les-negazirovannaya-175l-473582,473582,ШИШКИН ЛЕС
15,"Вода Aqua Minerale питьевая негазированная, 5л",125,119,https://online.metro-cc.ru/products/aqua-minerale-stolovaya-negazirovannaya-5l-75629,75629,AQUA MINERALE
